skills,interests,education,personality,recommended_career,Recommendations,jobs
"Excel, Budgeting, Planning",Business Operations,BBA,Organized,Operations Manager,"Learn Supply Chain, ERP systems","Corporates, Logistics Firms"
"Research, Communication, Business","Consulting, Analysis",BBA,Logical,Business Analyst,"Learn SQL, Power BI, Analytics","Consulting, Startups"
"Finance, Accounting, Taxation","Auditing, Banking",BBA,Detail-Oriented,Accountant,"Learn Tally, QuickBooks, GST","Firms, Finance Companies"
"Management, Marketing, Leadership",Brand Promotion,BBA,Strategic,Brand Manager,"Learn Marketing Analytics, Consumer Behavior;","FMCG, E-commerce"
"Public Speaking, Negotiation","HR, Communication",BBA,Empathetic,Human Resource Manager,"Learn HR Analytics, Talent Acquisition","Corporates, IT Firms"
"Research, Statistics, Logic","Business, Growth",BBA,Analytical,Market Research Analyst,"Learn Excel, Data Collection, SPSS;","Consulting, Research Firms"
"Communication, Negotiation, Leadership",Business Expansion,BBA,Ambitious,Entrepreneur,"Learn Business Planning, Fundraising;","Own Startup, Incubators"
"Finance, Budgeting, Analysis","Government, Economy",BBA,Logical,Economist,"Learn Statistics, Policy Analysis;","Govt., Research Institutes"
"Management, Strategy, Risk Analysis","Finance, Investment",BBA,Analytical,Investment Banker,"Learn Financial Models, Excel, Valuation","Banks, Investment Firms"
"Event Planning, Communication, Creativity","PR, Marketing",BBA,Outgoing,Event Manager,"Learn Event Design, Budgeting;","Event Firms, Media Houses"
"Leadership, Sales, Marketing","Retail, Fashion",BBA,Creative,Retail Manager,"Learn Inventory, CRM, Brand Management","Fashion Chains, Retail Stores"
"Communication, Research, Writing","Journalism, Marketing",BBA,Expressive,Corporate Communications Officer,"Learn PR, Writing, Brand Communication","Corporates, Media"
"Finance, Auditing, Excel","Accounting, Management",BBA,Detail-Oriented,Auditor,"Learn Accounting Standards, Taxation;","Audit Firms, Finance"
"HR, Law, Ethics","People, Compliance",BBA,Responsible,Compliance Officer,"Learn Labor Laws, Business Ethics","Corporates, Banks"
"Communication, Negotiation, International Business",Global Trade,BBA (IB),Confident,International Business Executive,"Learn Export-Import Management, Cross-Cultural Skills","MNCs, Logistics"
"Marketing, Sales, Analytics","Technology, Startups",BBA,Strategic,Product Manager,"Learn Agile, Product Design, Analytics","SaaS, Tech Startups"
"Finance, Risk Management, Excel","Insurance, Banking",BBA,Analytical,Risk Analyst,"Learn Risk Modeling, Finance Tools","Banks, Insurance Firms"
"Research, Marketing, Analytics","Real Estate, Business",BBA,Practical,Real Estate Analyst,"Learn Market Research, Excel, Property Valuation;","Realty Firms, Investors"
"Leadership, Teamwork, Organization",Corporate Strategy,BBA,Visionary,Management Consultant,"Learn Business Analytics, PowerPoint, Strategy Tools;","Deloitte, PwC"
"Communication, Finance, Investment","Trading, Economics",BBA,Logical,Stock Market Analyst,"Learn Trading Platforms, Technical Analysis","Brokers, Financial Firms"
"HR, Psychology, Counseling",People Management,BBA,Empathetic,Talent Acquisition Specialist,"Learn HR Tech, Interviewing Skills;","Corporates, HR Firms"
"Marketing, Advertising, Design","Creativity, Media",BBA,Creative,Advertising Executive,"Learn Copywriting, Campaign Design","Agencies, Media Houses"
"Communication, Planning, Management",Business Growth,BBA,Confident,Corporate Trainer,"Learn Soft Skills, Public Speaking","Corporates, Institutions"
"Leadership, Negotiation, Strategy",Global Business,BBA,Confident,Supply Chain Manager,"Learn Logistics, ERP, Operations","MNCs, Manufacturing"
"Finance, Investment, Negotiation",Real Estate,BBA,Strategic,Investment Advisor,"Learn Portfolio Management, Risk Analysis;","Banks, Wealth Firms"
"Communication, HR, Marketing","People, Brand",BBA,Social,Employer Branding Specialist,"Learn HR Marketing, Social Media;","Tech Companies, Agencies"
"Reporting, Writing","news,politics",Journalism,Curious,News Reporter,Learn news writing & field reporting,"Reporter, News Correspondent, Field Journalist, Beat Reporter, Crime Reporter"
"Writing, Research","Society, Investigation",Journalism,Analytical,Investigative Journalist,"Learn RTI, research tools","Investigative Reporter, Crime Investigator, Anti-Corruption Journalist"
"Editing, Grammar",Editorial Work,Journalism,Detail-Oriented,Sub Editor,Improve editing skills,"Sub Editor, Proofreader, Copy Editor, Content Editor"
Photography,News Coverage,Mass Comm,Observant,Photojournalist,Learn DSLR storytelling,"Photojournalist, News Photographer, Visual Reporter"
"Research, Analytics",Data Journalism,Journalism,Logical,Data Journalist,Learn MS Excel + Data Viz,"Data Journalist, Fact Analyst, Infographics Journalist"
"Anchoring, Voice",TV,Mass Comm,Confident,News Anchor,Practice teleprompter,"News Anchor, TV Host, Broadcast Presenter"
Camera Operation,Broadcasting,Mass Comm,Calm,TV Cameraman,Learn broadcast cameras,"TV Cameraman, Studio Camera Operator, Field Camera Operator"
"Voice, Speaking",Radio,Mass Comm,Friendly,Radio Jockey,Practice storytelling,"RJ, Radio Host, Voice Presenter"
Script Writing,Radio Ads,Mass Comm,Expressive,Radio Copywriter,Practice audio scripts,"Ad Copywriter, Radio Scriptwriter, Promo Writer"
Content Writing,Blogging,Mass Comm,Creative,Digital Content Writer,Learn SEO,"Content Writer, Blogger, Web Writer"
Social Media,"Instagram, YouTube",Mass Comm,Creative,Social Media Manager,Learn analytics,"SMM Specialist, Digital Strategist, Social Media Executive"
Video Creation,YouTube,Any,Creative,YouTube Strategist,Learn YouTube SEO,"YouTube Strategist, Content Producer, Channel Manager"
Graphic Design,Digital Ads,Mass Comm,Artistic,Creative Director,Build portfolio,"Creative Director, Art Director, Digital Designer"
Screenwriting,Films,Mass Comm,Creative,Scriptwriter,Practice script formats,"Film Scriptwriter, Dialogue Writer, Screenplay Writer"
Camera Work,Films,Mass Comm,creative,Cinematographer,Learn lighting,"Cinematographer, DOP, Camera Assistant"
Editing,Films,Mass Comm,Patient,Film Editor,Learn Premiere Pro,"Film Editor, Assistant Editor, Post-Production Editor"
Team Management,Sets,Any,Organized,Production Manager,Learn logistics,"Production Coordinator, Line Producer, Production Manager"
Communication,Brands,Mass Comm,Strategic,PR Officer,Learn PR tools,"Public Relations Officer, Publicist, Media Coordinator"
Writing & Branding,Business,Mass Comm,Expressive,Corporate Communications,Learn business writing,"Corporate Writer, Communication Manager, PR Strategist"
Strategy,Crisis Handling,Mass Comm,Calm,Crisis Communication Specialist,Learn crisis PR,"Crisis Manager, Communications Consultant"
Copywriting,Ads,Mass Comm,Creative,Advertising Copywriter,Practice ad lines,"Copywriter, Creative Writer, Ad Scriptwriter"
"Research, PR",Politics,Mass Comm,Analytical,Political Campaign Manager,Learn political PR,"Campaign Manager, Political PR Expert"
Illustration,Ads & Films,Design,Artistic,Storyboard Artist,Build storyboard reel,"Storyboard Artist, Illustrator, Concept Artist"
Speech Writing,Govt,Mass Comm,Creative,Political Speechwriter,Practise persuasive writing,"Speech Writer, Political Scriptwriter"
Communication,Social Issues,Mass Comm,"Empathetic
Empathetic",NGO Communications Officer,Learn advocacy,"Communications Officer, Outreach Coordinator"
"Plant Biology, Genetics, Research","Crops, Plants",B.Sc Agriculture,Analytical,Agronomist,"Learn soil science, crop management, field trials","Agronomist, Crop Scientist, Field Researcher, Plant Consultant"
"Soil Testing, Analysis, Chemistry","Farming, Ecology",B.Sc Agriculture,Observant,Soil Scientist,"Learn soil chemistry, lab analysis, GIS","Soil Scientist, Soil Analyst, Environmental Consultant"
"Farm Management, Planning, Marketing",Agribusiness,B.Sc Agriculture,Strategic,Farm Manager,"Learn agri-business, crop planning, supply chain","Farm Manager, Agri-business Manager, Plantation Manager"
"Biotechnology, Lab Work, Molecular Biology",Research,B.Sc Biotech / Microbiology,Curious,Biotechnologist,"Learn DNA techniques, lab protocols","Biotechnologist, Lab Researcher, Bio-analyst"
"Microbiology, Lab Techniques","Medicine, Food",B.Sc Microbiology,Detail-Oriented,Microbiologist,"Learn microbial techniques, quality testing","Microbiologist, Lab Technician, Food Safety Officer"
"Environmental Analysis, GIS, Data","Nature, Sustainability",B.Sc Environmental Science,Ethical,Environmental Analyst,"Learn GIS, climate analysis, environmental laws","Environmental Analyst, Sustainability Consultant, NGO Analyst"
"Animal Handling, Wildlife Research","Zoology, Conservation",B.Sc Zoology,Observant,Wildlife Biologist,"Learn field research, animal tracking","Wildlife Biologist, Field Researcher, Conservation Officer"
"Plant Research, Lab Work","Botany, Ecology",B.Sc Botany,Analytical,Plant Scientist,"Learn taxonomy, plant breeding, tissue culture","Plant Scientist, Horticulturist, Research Assistant"
"Nutrition, Food Science","Diet, Wellness",B.Sc Nutrition,Empathetic,Nutritionist,"Learn diet planning, clinical nutrition","Nutritionist, Dietitian, Wellness Consultant"
"Laboratory Research, Clinical Studies",Biochemistry,B.Sc Biochemistry,Detail-Oriented,Biomedical Scientist,"Learn clinical trials, lab protocols","Biomedical Scientist, Lab Analyst, Clinical Research Associate"
"Agricultural Policy, Economics",Rural Development,B.Sc Agriculture / Economics,Strategic,Agriculture Policy Analyst,"Learn agri-economics, policy frameworks","Policy Analyst, Research Associate, Government Consultant"
"Sustainable Agriculture, Innovation","Farming, Environment",B.Sc Agriculture,Creative,Agri-Entrepreneur,"Learn agri-tech, farm startup ideas","Agri-Tech Founder, Organic Farm Owner, Vertical Farming Entrepreneur"
"Pest Management, Research","Crops, Environment",B.Sc Agriculture,Analytical,Entomologist,"Learn pest control, integrated management","Entomologist, Pest Control Consultant, Researcher"
"Aquaculture, Marine Biology","Fishery, Environment",B.Sc Zoology / Aquaculture,Observant,Aquaculture Specialist,"Learn fish breeding, pond management","Aquaculture Technician, Fish Farm Manager, Marine Biologist"
"Forestry, Conservation, GIS","Forests, Ecology",B.Sc Forestry / Environmental Science,Responsible,Forest Officer,"Learn forestry management, GIS mapping","Forest Officer, Wildlife Officer, GIS Analyst"
"VFX Compositing, After Effects","Movies, Gaming",B.Des / Animation,Detail-Oriented,Compositor,"Learn Nuke, Fusion, and compositing pipelines","Compositor, VFX Artist, Post-Production Artist"
Animation Programming,"Gaming, Tech",BCA / B.Sc CS,Logical,Technical Animator,"Learn scripting, animation engines","Technical Animator, Animation Programmer, Gameplay Animator"
Prototyping,"Animation, Gaming",B.Des,Creative,3D Modeler,Learn sculpting and 3D printing pipelines,"3D Modeler, Prop Designer, 3D Sculptor"
"UI/UX Design, Creativity","Gaming, Apps",B.Des / BCA,Creative,Game UI Designer,"Learn Figma, UX principles for games","Game UI Designer, UX Designer, Interface Artist"
"Simulation, Physics, FX","VFX, Games",B.Sc Animation / BCA,Analytical,FX Artist,"Learn particle simulation, dynamics","FX Artist, VFX Technical Artist, Simulation Artist"
